no,space_name,class,is_parking,matched_keywords,n_rows,area_sum_m2
90353,"교회(계단탑,승강기탑(연면적제외))",비공조,N,계단|계단탑|승강기|연면적제외|면적제외,1,28.6
90354,"고가수조,ele기계실(연면적제외)",비공조,N,기계실|기계|고가수조|수조|연면적제외|면적제외,1,48.5
90355,주차장(34.17),비공조,Y,주차|주차장,1,34.2
90356,다세대주택(연면적제외(계단실)),비공조,N,계단|계단실|연면적제외|면적제외,1,9.1
90357,"주차장:58.71,다세대주택:70.50",비공조,Y,주차|주차장,1,129.2
90358,"보일러실,부석시설(창고)",비공조,N,보일러,1,58.7
90359,주차장25.41,비공조,Y,주차|주차장,1,0.0
90360,도시형생활주택(단지형다세대-계다실/기계실)/연면적제외,비공조,N,기계실|기계|연면적제외|면적제외,1,20.7
90361,e.l실및계단실(연면적제외),비공조,N,계단|계단실|연면적제외|면적제외,1,14.5
90362,"점포70.52㎡,주차통로19.17㎡",비공조,Y,주차|통로,1,89.7
90363,공중변소/관리소,비공조,N,변소|공중변소,1,128.2
90364,"다세대주택(1세대):74.16,지하주차장:54.72",비공조,Y,주차|주차장,1,128.9
90365,"발전기실,전기실,창고,관리실",비공조,N,전기실|전기|발전,1,118.1
90366,계단탑/물탱크실(8.10연면적제외),비공조,N,계단|계단탑|물탱|물탱크|탱크|연면적제외|면적제외,1,8.1
90367,주차요금,비공조,Y,주차,1,13.4
90368,"펌프실,섬핏",비공조,N,펌프,1,51.2
90369,"주택(2가구)73.17㎡,계단실12.96㎡",비공조,N,계단|계단실,1,86.1
90370,"주택(1가구)73.17㎡,계단실12.96㎡",비공조,N,계단|계단실,1,86.1
90371,"주택(1가구)51.03㎡,계단실12.96㎡",비공조,N,계단|계단실,1,64.0
90372,"제2종근린생활시설119.96㎡,주차장33.07㎡",비공조,Y,주차|주차장,1,153.0
90373,"물탱크실,기계실,화장실(연면적제외)",비공조,N,기계실|기계|화장실|물탱|물탱크|탱크|연면적제외|면적제외,1,37.6
